=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【阿肥猪】	a55 bui55 dy55	胖子〈贬〉。
【阿蛴】	a33 ji53	蝉，知了▷～叫，荔枝红〈谚〉（知了叫，荔枝红）。
【阿蛴姆】	a53ji31mo3	喻指多话的女人▷许隻依嫂共～蜀样，吵死侬（那个大嫂和知了一样多话，吵死人）。
【阿歞】	a21 ngoung242	傻子，傻瓜。
【鸦片屎】	a21 wieng53 nai33	鸦片的烟灰。
【鸦片塗】	a21 wieng21 tu53	鸦片（膏剂）。
【拗】	a33	①折断▷箠批～对长（竹鞭子折断成两半）。②摘▷～蜀箭花（摘一支花）。③掰▷饼～半爿分伊（把饼掰一半分给他）。
【拗手】	a24 jiu33	①扳手臂赛臂力。②对抗，争斗▷厂𠲥两隻头头𠲥～，生产做{𫧃,儥}好（厂里两个领导人明争喑斗，生产搞不好）。
【会】	a242	①能▷～食其{𫧃,儥}？{𫧃,儥}（能吃吗？能）。②善于▷喙野～讲（善于说话；嘴巴很能说）。③可以▷{总款,这样款}事计～做𠲥（这种事可以干）。④（助）用在动词与补语之闻，相当于普通话的“得”}食饱（吃得饱）|掏～来（拿得来）亐冖出（有得出）。
【会使】	a24lai32	表示同意的应答语，相当于普通话的”好的”、”可以”。
【下】	a242	①计份的量词▷只下比许下価（这份比那份多）。②倍▷着两～只価乍有够（得两倍这么多才够）。
【下下】	a53 a242	每一次，老是，总是▷自家翻字典，伓使～直透问（自己查字典，不要老是问个不停）。
【下界婆】	a21ai44(i44)wo5	”下界爷”的配偶。参见［下界爷］。
【下界爷】	a21 ai55 (i55) ie53	迷信者对无主孤魂的尊称。逢年过节祭祖时往往在家门口墙脚下另设简单供品焚香烛供之。
【下颏】	a55 hai53	下巴。
【下橛】	a55 kuok5	下半截▷含橱～未油漆（碗厨下半截▷还没上油漆）|只本书我无看完，{𫧃,儥}{八,仈}～讲{什乇,世乇}（这本书我没看完，不知道下半截写些什么）。也说［下半长］a21wuang44noung53。
【下昼】	a53 lau213	下午。
【下昼时】	a21 lau55 li53	下午的时候▷～逿雨暝晡就会凉仂囝（下午下了雨，晚上就会凉爽一点）。
【下底】	a33 le33	下面。也说［下底势］a21le44lie213。
【下邪】	a33 lia53	①占人便宜▷只隻朋友真会～（那个汉子很会占人便宜）。②耍赖，賴帐▷钱借伊乞～去（借他钱叫他赖了）。
